glyph_name,ps_name,sort_final,sort_design
ordfeminine,ordfeminine,1110,11110
guillemotleft,guillemotleft,1111,11111
logicalnot,logicalnot,1112,11112
uni00AD,uni00AD,1113,11113
registered,registered,1114,11114
macron,macron,1115,11115
degree,degree,1116,11116
plusminus,plusminus,1117,11117
twosuperior,twosuperior,1118,11118
threesuperior,threesuperior,1119,11119
acute,acute,1120,11120
mu,mu,1121,11121
paragraph,paragraph,1122,11122
periodcentered,periodcentered,1123,11123
cedilla,cedilla,1124,11124
onesuperior,onesuperior,1125,11125
ordmasculine,ordmasculine,1126,11126
guillemotright,guillemotright,1127,11127
onequarter,onequarter,1128,11128
onehalf,onehalf,1129,11129
threequarters,threequarters,1130,11130
questiondown,questiondown,1131,11131
Agrave,Agrave,1132,11132
Aacute,Aacute,1133,11133
Acircumflex,Acircumflex,1134,11134
Atilde,Atilde,1135,11135
Adieresis,Adieresis,1136,11136
Aring,Aring,1137,11137
AE,AE,1138,11138
Ccedilla,Ccedilla,1139,11139
Egrave,Egrave,1140,11140
Eacute,Eacute,1141,11141
Ecircumflex,Ecircumflex,1142,11142
Edieresis,Edieresis,1143,11143
Igrave,Igrave,1144,11144
Iacute,Iacute,1145,11145
Icircumflex,Icircumflex,1146,11146
Idieresis,Idieresis,1147,11147
Eth,Eth,1148,11148
Ntilde,Ntilde,1149,11149
Ograve,Ograve,1150,11150
Oacute,Oacute,1151,11151
Ocircumflex,Ocircumflex,1152,11152
Otilde,Otilde,1153,11153
Odieresis,Odieresis,1154,11154
multiply,multiply,1155,11155
Oslash,Oslash,1156,11156
Ugrave,Ugrave,1157,11157
Uacute,Uacute,1158,11158
Ucircumflex,Ucircumflex,1159,11159
Udieresis,Udieresis,1160,11160
Yacute,Yacute,1161,11161
Thorn,Thorn,1162,11162
germandbls,germandbls,1163,11163
agrave,agrave,1164,11164
aacute,aacute,1165,11165
acircumflex,acircumflex,1166,11166
atilde,atilde,1167,11167
adieresis,adieresis,1168,11168
aring,aring,1169,11169
ae,ae,1170,11170
ccedilla,ccedilla,1171,11171
egrave,egrave,1172,11172
eacute,eacute,1173,11173
ecircumflex,ecircumflex,1174,11174
edieresis,edieresis,1175,11175
igrave,igrave,1176,11176
iacute,iacute,1177,11177
icircumflex,icircumflex,1178,11178
idieresis,idieresis,1179,11179
eth,eth,1180,11180
ntilde,ntilde,1181,11181
ograve,ograve,1182,11182
oacute,oacute,1183,11183
ocircumflex,ocircumflex,1184,11184
otilde,otilde,1185,11185
odieresis,odieresis,1186,11186
divide,divide,1187,11187
oslash,oslash,1188,11188
ugrave,ugrave,1189,11189
uacute,uacute,1190,11190
ucircumflex,ucircumflex,1191,11191
udieresis,udieresis,1192,11192
yacute,yacute,1193,11193
thorn,thorn,1194,11194
ydieresis,ydieresis,1195,11195
dotlessi,dotlessi,1201,11201
OE,OE,1202,11202
oe,oe,1203,11203
Scaron,Scaron,1204,11204
scaron,scaron,1205,11205
Ydieresis,Ydieresis,1206,11206
Zcaron,Zcaron,1207,11207
zcaron,zcaron,1208,11208
florin,florin,1209,11209
circumflex,circumflex,1210,11210
caron,caron,1211,11211
breve,breve,1212,11212
dotaccent,dotaccent,1213,11213
ring,ring,1214,11214
ogonek,ogonek,1215,11215
tilde,tilde,1216,11216
hungarumlaut,hungarumlaut,1217,11217
uni03A9,uni03A9,1218,11218
pi,pi,1219,11219
figuredash,figuredash,1220,11220
endash,endash,1221,11221
emdash,emdash,1222,11222
uni2015,uni2015,1223,11223
quoteleft,quoteleft,1224,11224
quoteright,quoteright,1225,11225
quotesinglbase,quotesinglbase,1226,11226
quotedblleft,quotedblleft,1227,11227
quotedblright,quotedblright,1228,11228
quotedblbase,quotedblbase,1229,11229
dagger,dagger,1230,11230
daggerdbl,daggerdbl,1231,11231
bullet,bullet,1232,11232
ellipsis,ellipsis,1233,11233
uni2027,uni2027,1234,11234
uni2028,uni2028,1235,11235
uni2029,uni2029,1236,11236
uni202A,uni202A,1237,11237
uni202B,uni202B,1238,11238
uni202C,uni202C,1239,11239
uni202D,uni202D,1240,11240
uni202E,uni202E,1241,11241
uni202F,uni202F,1242,11242
perthousand,perthousand,1243,11243
guilsinglleft,guilsinglleft,1244,11244
guilsinglright,guilsinglright,1245,11245
fraction,fraction,1246,11246
